16:28:43 : temp:25, pwm:0/50, des_temp:25, auto:0
16:29:42 : temp:25, pwm:0/50, des_temp:0, auto:0
16:29:43 : temp:25, pwm:0/50, des_temp:0, auto:0
16:29:44 : temp:25, pwm:0/50, des_temp:0, auto:0
16:29:45 : temp:25, pwm:0/50, des_temp:0, auto:0
16:29:46 : temp:25, pwm:0/50, des_temp:0, auto:0
20:31:19 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:20 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:20 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:21 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:22 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:23 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:24 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:25 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:27 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:27 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:28 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:29 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:31 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:32 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:32 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:33 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:34 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:35 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:36 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:38 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:39 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:40 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:40 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:41 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:43 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:44 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:44 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:45 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:46 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:47 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:48 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:50 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:50 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:51 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:52 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:53 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:55 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:55 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:56 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:58 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:59 : temp:21, pwm:0/50, des_temp:0, auto:0
20:31:59 : temp:21, pwm:0/50, des_temp:0, auto:0
20:32:00 : temp:21, pwm:0/50, des_temp:0, auto:0
20:32:01 : temp:21, pwm:0/50, des_temp:0, auto:0
20:32:03 : temp:21, pwm:0/50, des_temp:0, auto:0
20:32:03 : temp:21, pwm:0/50, des_temp:0, auto:0
